排名,排名变化,中文全名,英文全名,年龄,出生地中文,出生地英文,性别,出生日期,教育程度中文,教育程度英文,学校中文,学校英文,常居地中文,常居地英文,照片,公司中文全名,公司英文全名,公司总部地中文,公司总部地英文,所在行业中文,所在行业英文,组织结构,人民币财富值,财富值变化,美元财富值,年份
1,4,张一鸣,Zhang Yiming,41,中国-福建-龙岩,China-Fujian-Longyan,男,1983-01-01,本科,Undergraduate,南开,南开大学,中国-北京,China-Beijing,,字节跳动,ByteDance,北京,Beijing,社交媒体,Social Media,未知,3500.0,43%,49300.0,2024
2,-1,钟睒睒,Zhong Shanshan,70,中国-浙江-绍兴,,男,1954-11-01,,,,,中国-浙江-杭州,,,养生堂,YST,浙江杭州,Zhejiang,饮料、医疗保健,"Drinks, Pharmaceuticals",未知,3400.0,-24%,47900.0,2024
3,-1,马化腾,Ma Huateng,53,中国-海南,China-Hainan,男,1971-10-01,本科,Undergraduate,深圳大学,深圳大学计算机与软件学院,中国-广东-深圳,China-Guangdong-Shenzhen,,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,未知,3150.0,13%,44400.0,2024
4,-1,黄峥,Huang Zheng,44,中国-浙江-杭州,China-Zhejiang-Hangzhou,男,1980-01-01,硕士,Master s,浙大、威斯康星大学,威斯康星大学麦迪逊分校,中国-上海,China-Shanghai,,拼多多,Pinduoduo,上海长宁,Shanghai,购物网站,E-Commerce,未知,2450.0,-9%,34500.0,2024
5,3,何享健,He Xiangjian,82,中国-广东-佛山,China-Guangdong-Foshan,男,1942-01-01,,,,,中国-广东-佛山,China-Guangdong-Foshan,,美的,Midea,广东佛山,Guangdong,家电制造,Household Appliances,家族,2350.0,18%,33100.0,2024
6,-2,曾毓群,Zeng Yuqun,56,中国-福建-宁德,China-Fujian-Ningde,男,1968-01-01,博士,Doctorate,上交大、中科院,,中国-福建-宁德,China-Fujian-Ningde,,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,未知,2000.0,-20%,28200.0,2024
6,0,丁磊,Ding Lei,53,中国-浙江-宁波,China-Zhejiang-Ningbo,男,1971-10-01,本科,Undergraduate,电子科技,电子科技大学,中国-浙江-杭州,China-Zhejiang-Hangzhou,,网易,Netease,浙江杭州,Zhejiang,互联网技术,Internet Services,未知,2000.0,-17%,28200.0,2024
6,1,李嘉诚、李泽钜,Li Ka-shing、Victor Li Tzar Kuoi,96,中国-香港,China-Hong Kong,男,1928-01-01,,,,,中国-香港,China-Hong Kong,,长江实业,Cheung Kong,香港,Hong Kong,投资,Investments,父子,2000.0,-5%,28200.0,2024
9,2,李兆基,Lee Shau Kee,96,中国-广东-佛山,China-Guangdong-Foshan,男,1928-01-01,,,,,中国-香港,China-Hong Kong,,恒基兆业,Henderson Land,香港,Hong Kong,房地产,Estate Holding,家族,1750.0,9%,24600.0,2024
10,0,马云,Ma Yun,60,中国-浙江-杭州,China-Zhejiang-Hangzhou,男,1964-10-15,本科,Undergraduate,杭州师范学院,杭州师范学院,中国-浙江-杭州,China-Zhejiang-Hangzhou,,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",家族,1650.0,-3%,23200.0,2024
11,-2,李书福,Li Shufu,61,中国-浙江-台州,China-Zhejiang-Taizhou,男,1963-06-25,博士,Doctorate,哈工大、燕山、哈工大,哈尔滨工业大学,中国-浙江-杭州,China-Zhejiang-Hangzhou,,吉利,Geely,浙江杭州,Zhejiang,汽车制造,Car Manufacturing,家族,1450.0,-17%,20400.0,2024
11,1,严昊,Yan Hao,38,中国-江苏-淮安,China -Jiangsu - Huai’an,男,1986-01-01,本科,Undergraduate,南京师范大学,,中国-江苏-南京,China-Jiangsu-Nanjing,,太平洋建设,China Pacific Construction,新疆乌鲁木齐,Xinjiang,基础建设,Roads,未知,1450.0,-3%,20400.0,2024
11,5,张刚,Zhang Gang,43,中国-山东-聊城,China -Shandong - Liaocheng,男,1981-01-01,硕士,Master s,西北工业、澳大利亚中央昆士兰大学,,中国-山东-聊城,China -Shandong - Liaocheng,,信发铝电,Xinfalyudian,山东聊城,Shandong,电解铝、氧化铝,Aluminum,家族,1450.0,7%,20400.0,2024
14,0,李蔡美灵,Lee Choi Mei Ling,未知,中国-香港,China-Hong Kong,男,1900-01-01,,,,,中国-香港,China-Hong Kong,,李锦记,Lee Kun Kee,香港,Hong Kong,调味品,Food Processing,家族,1400.0,0%,19700.0,2024
14,0,吕向阳、张长虹,Lyu Xiangyang、Zhang Changhong,61,中国-安徽-芜湖,China -Anhui - Wuhu,男,1963-01-01,,,,,中国-广东-广州,China-Guangdong-Guangzhou,,融捷,Youngy,广东广州,Guangdong,投资,Investments,夫妇,1400.0,0%,19700.0,2024
16,-3,秦英林、钱瑛,Qin Yinglin、Qian Ying,59,中国-河南-南阳,China - Henan - Nanyang,男,1965-01-01,本科,Undergraduate,河南农业大学,河南农业大学,中国-河南-南阳,China - Henan - Nanyang,,牧原,Muyuan,河南南阳,Henan,畜牧,Pig Farming,夫妇,1350.0,-7%,19000.0,2024
16,0,王传福,Wang Chuanfu,58,中国-安徽-芜湖,China -Anhui - Wuhu,男,1966-02-01,本科,Undergraduate,中南,中南大学,中国-广东-深圳,China-Guangdong-Shenzhen,,比亚迪,BYD,广东深圳,Guangdong,汽车、充电电池,"Automobile, New Energy",未知,1350.0,0%,19000.0,2024
16,81,赵长鹏,Zhao Changpeng,47,中国-江苏-连云港,China-Jiangsu-Lianyungang,男,1977-01-01,本科,Undergraduate,麦吉尔大学,,阿联酋迪拜,United Arab Emirates-Dubai,,币安,Binance,美国,USA,虚拟货币交易所,Blockchain,未知,1350.0,200%,19000.0,2024
19,15,雷军,Lei Jun,55,中国-湖北-仙桃,China -Hubei - Fairy Peach,男,1969-12-01,本科,Undergraduate,武大,武汉大学,中国-北京,China-Beijing,,小米,Xiaomi,北京,Beijing,智能硬件与技术、投资,"IoT, Investments",未知,1300.0,38%,18300.0,2024
20,0,陈建华、范红卫,Chen Jianhua、Fan Hongwei,53,中国-江苏-苏州,China-Jiangsu-Suzhou,男,1971-01-01,硕士,Master s,南京师范,,中国-江苏-苏州,China-Jiangsu-Suzhou,,恒力,Hengli,江苏苏州,Jiangsu,化纤、石化、房地产,"Textiles, Chemical Fiber, Real Estate",夫妇,1250.0,0%,17600.0,2024
20,6,张志东,Zhang Zhidong,52,中国-广东-东莞,China-Guangdong-Dongguan,男,1972-01-01,硕士,Master s,深圳、华南理工,华南理工大学,中国-广东-深圳,China-Guangdong-Shenzhen,,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,未知,1250.0,14%,17600.0,2024
22,-4,刘永行、刘相宇,Liu Yongxing、Liu Xiangyu,76,中国-四川-成都,China - Sichuan-Chengdu,男,1948-06-01,博士,Doctorate,西华、恒生国际、美国波士顿,西华大学,中国-上海,China-Shanghai,,东方希望,East Hope,上海浦东,Shanghai,氧化铝、重化工、饲料,"Aluminium, Feed",父子,1200.0,-8%,16900.0,2024
23,-3,王卫,Wang Wei,54,中国-上海,China-Shanghai,男,1970-01-01,,,,,中国-香港,China-Hong Kong,,顺丰,SF,广东深圳,Guangdong,快递,Express Delivery,未知,1100.0,-12%,15500.0,2024
23,1,魏建军、韩雪娟,Wei Jianjun、Han Xuejuan,60,中国-河北-保定,China-Hebei-Baoding,男,1964-01-01,,,,,中国-河北-保定,China-Hebei-Baoding,,长城,Great Wall Motor,河北保定,Hebei,汽车制造,Automobile,夫妇,1100.0,-8%,15500.0,2024
23,15,郑淑良,Zheng Shuliang,78,中国-山东,China-Shandong,男,1946-01-01,,,,,中国-山东-滨州,China-Shandong-Binzhou,,魏桥创业,Weiqiao Pioneering,山东滨州,Shandong,铝业、纺织,"Aluminum, Textiles",家族,1100.0,31%,15500.0,2024
26,1,李西廷,Li Xiting,73,中国-安徽-宿州,China-Anhui-Ceju,男,1951-01-01,本科,Undergraduate,中科大,中国科技大学,新加坡,Singapore,,迈瑞,Mindray,广东深圳,Guangdong,医疗器械,Pharmaceuticals,未知,1000.0,0%,14100.0,2024
27,4,党彦宝,Dang Yanbao,51,,,男,1973-01-01,本科,Undergraduate,宁夏,,中国-宁夏-吴忠,China-Ningxia-Wu Zhong,,宝丰,Baofeng Energy,宁夏银川,Ningxia,煤化工,Coal Chemical,未知,950.0,0%,13400.0,2024
